state,state_code,sport,is_paralympic,athlete_count,data_source
Alabama,AL,Athletics,False,12,wikipedia_categories_v1
Alabama,AL,Baseball,False,3,wikipedia_categories_v1
Alabama,AL,Boxing,False,3,wikipedia_categories_v1
Alabama,AL,Fencing,False,3,wikipedia_categories_v1
Alabama,AL,Cycling,False,2,wikipedia_categories_v1
Alabama,AL,Figure Skating,False,2,wikipedia_categories_v1
Alabama,AL,Shooting,False,2,wikipedia_categories_v1
Alabama,AL,Swimming,False,2,wikipedia_categories_v1
Alabama,AL,Wheelchair Basketball,True,2,wikipedia_categories_v1
Alabama,AL,Bobsleigh,False,1,wikipedia_categories_v1
Alabama,AL,Equestrian,False,1,wikipedia_categories_v1
Alabama,AL,Handball,False,1,wikipedia_categories_v1
Alabama,AL,Rowing,False,1,wikipedia_categories_v1
Alabama,AL,Soccer,False,1,wikipedia_categories_v1
Alabama,AL,Softball,False,1,wikipedia_categories_v1
Alabama,AL,Wrestling,False,1,wikipedia_categories_v1
Alaska,AK,Cross-Country Skiing,False,14,wikipedia_categories_v1
Alaska,AK,Rowing,False,4,wikipedia_categories_v1
Alaska,AK,Biathlon,False,3,wikipedia_categories_v1
Alaska,AK,Curling,False,3,wikipedia_categories_v1
Alaska,AK,Ice Hockey,False,2,wikipedia_categories_v1
Alaska,AK,Para Alpine Skiing,True,2,wikipedia_categories_v1
Alaska,AK,Snowboarding,False,2,wikipedia_categories_v1
Alaska,AK,Handball,False,1,wikipedia_categories_v1
Alaska,AK,Para Athletics,True,1,wikipedia_categories_v1
Alaska,AK,Para Cycling,True,1,wikipedia_categories_v1
Alaska,AK,Para Football,True,1,wikipedia_categories_v1
Alaska,AK,Shooting,False,1,wikipedia_categories_v1
Alaska,AK,Wheelchair racer,False,1,wikipedia_categories_v1
Alaska,AK,Wrestling,False,1,wikipedia_categories_v1
American Samoa,AS,Athletics,False,1,wikipedia_categories_v1
Arizona,AZ,Athletics,False,8,wikipedia_categories_v1
Arizona,AZ,Cycling,False,3,wikipedia_categories_v1
Arizona,AZ,Gymnastics,False,2,wikipedia_categories_v1
Arizona,AZ,Ice Hockey,False,2,wikipedia_categories_v1
Arizona,AZ,Rowing,False,2,wikipedia_categories_v1
Arizona,AZ,Shooting,False,2,wikipedia_categories_v1
Arizona,AZ,Sitting Volleyball,True,2,wikipedia_categories_v1
Arizona,AZ,Skateboarding,False,2,wikipedia_categories_v1
Arizona,AZ,Swimming,False,2,wikipedia_categories_v1
Arizona,AZ,Archery,False,1,wikipedia_categories_v1
Arizona,AZ,Boxing,False,1,wikipedia_categories_v1
Arizona,AZ,Diving,False,1,wikipedia_categories_v1
Arizona,AZ,Fencing,False,1,wikipedia_categories_v1
Arizona,AZ,Modern Pentathlon,False,1,wikipedia_categories_v1
Arizona,AZ,Para Archery,True,1,wikipedia_categories_v1
Arizona,AZ,Para Athletics,True,1,wikipedia_categories_v1
Arizona,AZ,Para Cycling,True,1,wikipedia_categories_v1
Arizona,AZ,Para Swimming,True,1,wikipedia_categories_v1
Arizona,AZ,Para Triathlon,True,1,wikipedia_categories_v1
Arizona,AZ,Rugby Sevens,False,1,wikipedia_categories_v1
Arizona,AZ,Snowboarding,False,1,wikipedia_categories_v1
Arizona,AZ,Soccer,False,1,wikipedia_categories_v1
Arizona,AZ,Softball,False,1,wikipedia_categories_v1
Arizona,AZ,Speed Skating,False,1,wikipedia_categories_v1
Arizona,AZ,Tennis,False,1,wikipedia_categories_v1
Arizona,AZ,Water Polo,False,1,wikipedia_categories_v1
Arizona,AZ,Weightlifting,False,1,wikipedia_categories_v1
Arizona,AZ,Wheelchair Rugby,True,1,wikipedia_categories_v1
Arizona,AZ,Wrestling,False,1,wikipedia_categories_v1
Arkansas,AR,Athletics,False,5,wikipedia_categories_v1
Arkansas,AR,Rowing,False,3,wikipedia_categories_v1
Arkansas,AR,Modern Pentathlon,False,2,wikipedia_categories_v1
Arkansas,AR,Para Swimming,True,2,wikipedia_categories_v1
Arkansas,AR,Shooting,False,2,wikipedia_categories_v1
Arkansas,AR,Boxing,False,1,wikipedia_categories_v1
Arkansas,AR,Cycling,False,1,wikipedia_categories_v1
Arkansas,AR,Para Alpine Skiing,True,1,wikipedia_categories_v1
California,CA,Athletics,False,133,wikipedia_categories_v1
California,CA,Swimming,False,66,wikipedia_categories_v1
California,CA,Rowing,False,54,wikipedia_categories_v1
California,CA,Water Polo,False,54,wikipedia_categories_v1
California,CA,Cycling,False,52,wikipedia_categories_v1
California,CA,Sailing,False,32,wikipedia_categories_v1
California,CA,Softball,False,31,wikipedia_categories_v1
California,CA,Soccer,False,30,wikipedia_categories_v1
California,CA,Figure Skating,False,27,wikipedia_categories_v1
California,CA,Volleyball,False,23,wikipedia_categories_v1
California,CA,Beach Volleyball,False,22,wikipedia_categories_v1
California,CA,Alpine Skiing,False,20,wikipedia_categories_v1
California,CA,Boxing,False,20,wikipedia_categories_v1
California,CA,Wrestling,False,20,wikipedia_categories_v1
California,CA,Shooting,False,18,wikipedia_categories_v1
California,CA,Fencing,False,17,wikipedia_categories_v1
California,CA,Gymnastics,False,16,wikipedia_categories_v1
California,CA,Para Athletics,True,13,wikipedia_categories_v1
California,CA,Rugby Sevens,False,11,wikipedia_categories_v1
California,CA,Baseball,False,10,wikipedia_categories_v1
California,CA,Snowboarding,False,10,wikipedia_categories_v1
California,CA,Badminton,False,9,wikipedia_categories_v1
California,CA,Diving,False,9,wikipedia_categories_v1
California,CA,Para Swimming,True,9,wikipedia_categories_v1
California,CA,Tennis,False,9,wikipedia_categories_v1
California,CA,Artistic Swimming,False,8,wikipedia_categories_v1
California,CA,Table Tennis,False,8,wikipedia_categories_v1
California,CA,Bobsleigh,False,7,wikipedia_categories_v1
California,CA,Freestyle Skiing,False,7,wikipedia_categories_v1
California,CA,Handball,False,7,wikipedia_categories_v1
California,CA,Canoe,False,6,wikipedia_categories_v1
California,CA,Cross-Country Skiing,False,6,wikipedia_categories_v1
California,CA,Judo,False,6,wikipedia_categories_v1
California,CA,Para Cycling,True,6,wikipedia_categories_v1
California,CA,Weightlifting,False,6,wikipedia_categories_v1
California,CA,Equestrian,False,5,wikipedia_categories_v1
California,CA,Speed Skating,False,5,wikipedia_categories_v1
California,CA,Wheelchair Basketball,True,5,wikipedia_categories_v1
California,CA,Archery,False,4,wikipedia_categories_v1
California,CA,Field Hockey,False,4,wikipedia_categories_v1
California,CA,Golf,False,4,wikipedia_categories_v1
California,CA,Luge,False,4,wikipedia_categories_v1
California,CA,Skateboarding,False,4,wikipedia_categories_v1
California,CA,Ice Hockey,False,3,wikipedia_categories_v1
California,CA,Para Alpine Skiing,True,3,wikipedia_categories_v1
California,CA,Sitting Volleyball,True,3,wikipedia_categories_v1
California,CA,Surfing,False,3,wikipedia_categories_v1
